IA1	IB1	averageP	sdP	overlap	direction
a billionaire	a celebrity	0.536	0.0494399918438418	0.928	1
a billionaire	a college student	0.410381818181818	0.0476239394617643	0.820763636363636	-1
a billionaire	a congressman	0.576893203883495	0.0489141042250305	0.84621359223301	1
a billionaire	a convict	0.735190082644628	0.0412156533418797	0.529619834710744	1
a billionaire	a gang member	0.777558558558559	0.0391994927445522	0.444882882882883	1
a billionaire	a homeless adult	0.494091666666667	0.045396398378765	0.988183333333333	-1
a billionaire	a judge	0.486803571428571	0.0465131909630614	0.973607142857143	-1
a billionaire	a mentor	0.4162	0.0457691544167611	0.8324	-1
a billionaire	a nun	0.50144347826087	0.0469497544202379	0.997113043478261	1
a billionaire	a pedophile	0.911060344827586	0.0267549087908591	0.177879310344828	1
a billionaire	a police officer	0.42004132231405	0.0441765864546982	0.840082644628099	-1
a billionaire	a rapist	0.89190756302521	0.0286354236878874	0.21618487394958	1
a billionaire	a soldier	0.33312389380531	0.0441631539761036	0.666247787610619	-1
a billionaire	a terrorist	0.894315315315315	0.0286633224386688	0.211369369369369	1
a billionaire	a thief	0.801189189189189	0.0387930877058685	0.397621621621622	1
a billionaire	an addict	0.665	0.0451950509514715	0.67	1
a billionaire	an adult	0.422738738738739	0.0472777855624736	0.845477477477477	-1
a billionaire	an adult with a deadly contagious disease	0.655377049180328	0.0424372284663817	0.689245901639344	1
a billionaire	an assassin	0.829521367521368	0.0366999445759961	0.340957264957265	1
a billionaire	an astronaut	0.456103448275862	0.0459782540993934	0.912206896551724	-1
a billionaire	an elderly person	0.365798165137615	0.0452694092575148	0.731596330275229	-1
a billionaire	an Olympian	0.48188679245283	0.0486981152601432	0.96377358490566	-1
a billionaire	an orphan	0.362955357142857	0.045849382347557	0.725910714285714	-1
a billionaire	a cockroach	0.918881818181818	0.0263377058440802	0.162236363636364	1
a billionaire	a life-saving antidote	0.301939130434783	0.0429750846141708	0.603878260869565	-1
a billionaire	a rabid possum	0.911827586206897	0.0265280423463306	0.176344827586207	1
a billionaire	a smartphone	0.737265486725664	0.0412183975707263	0.525469026548673	1
a celebrity	a college student	0.345309090909091	0.0439224401758251	0.690618181818182	-1
a celebrity	a congressman	0.520631067961165	0.050282638048839	0.95873786407767	1
a celebrity	a convict	0.697247933884298	0.0413018844426356	0.605504132231405	1
a celebrity	a gang member	0.744261261261261	0.0398569023490935	0.511477477477478	1
a celebrity	a homeless adult	0.436633333333333	0.045219087529362	0.873266666666667	-1
a celebrity	a judge	0.419758928571429	0.0477168389036276	0.839517857142857	-1
a celebrity	a mentor	0.352739130434783	0.0430450410601487	0.705478260869565	-1
a celebrity	a nun	0.440539130434783	0.0454318102235983	0.881078260869565	-1
a celebrity	a pedophile	0.891396551724138	0.028483929217034	0.217206896551724	1
a celebrity	a police officer	0.358876033057851	0.0415559572461656	0.717752066115703	-1
a celebrity	a rapist	0.874705882352941	0.0295773111610786	0.250588235294118	1
a celebrity	a soldier	0.270929203539823	0.0404238262219043	0.541858407079646	-1
a celebrity	a terrorist	0.869756756756757	0.0320026196194734	0.260486486486486	1
a celebrity	a thief	0.765432432432432	0.0413755093653157	0.469135135135135	1
a celebrity	an addict	0.617743119266055	0.0462241766613936	0.76451376146789	1
a celebrity	an adult	0.361099099099099	0.0450633262870011	0.722198198198198	-1
a celebrity	an adult with a deadly contagious disease	0.609590163934426	0.0444610916104685	0.780819672131148	1
a celebrity	an assassin	0.797811965811966	0.0356821925988365	0.404376068376068	1
a celebrity	an astronaut	0.393646551724138	0.0469024400715304	0.787293103448276	-1
a celebrity	an elderly person	0.306889908256881	0.0457267820266825	0.613779816513761	-1
a celebrity	an Olympian	0.420575471698113	0.0461294211031207	0.841150943396226	-1
a celebrity	an orphan	0.296142857142857	0.0426057980742028	0.592285714285714	-1
a celebrity	a cockroach	0.894363636363636	0.0297486832937431	0.211272727272727	1
a celebrity	a life-saving antidote	0.238495652173913	0.0394913752363276	0.476991304347826	-1
a celebrity	a rabid possum	0.884724137931034	0.0301944302480712	0.230551724137931	1
a celebrity	a smartphone	0.690973451327434	0.0442181906027799	0.618053097345133	1
a cockroach	a college student	0.00777391304347826	0.00851873826366431	0.0155478260869565	-1
a cockroach	a congressman	0.0896018518518518	0.0266224845182033	0.179203703703704	-1
a cockroach	a convict	0.218968253968254	0.0366329856346472	0.437936507936508	-1
a cockroach	a gang member	0.26076724137931	0.0416195498330727	0.521534482758621	-1
a cockroach	a homeless adult	0.03468	0.016416549671082	0.06936	-1
a cockroach	a judge	0.0190940170940171	0.0127847977785837	0.0381880341880342	-1
a cockroach	a mentor	0.00795	0.00820252693471844	0.0159	-1
a cockroach	a nun	0.0266333333333333	0.0148669253685609	0.0532666666666667	-1
a cockroach	a pedophile	0.504603305785124	0.0453355639188405	0.990793388429752	1
a cockroach	a police officer	0.0248412698412698	0.0140461218649567	0.0496825396825397	-1
a cockroach	a rapist	0.490935483870968	0.0440565250308421	0.981870967741935	-1
