overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdP	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
0.05	a rapist	an astronaut	79	random	1	9	1	unidentified	personal	d	No	8.352318548226	N/A	-1	0.0476384615384615	0.0184543359451891	0.095276923076923	-1	1	FALSE	-0.904723076923077	1	0.155768978776642	8.19654956944936	0.05
0.05	a terrorist	a college student	79	random	1	156	1	unidentified	impersonal	d	No	7.80098207125774	N/A	-1	0.954008547008547	0.0198968379250805	0.091982905982906	-1	1	FALSE	-0.908017094017094	1	-0.0652866175852287	7.86626868884297	0.05
0.05	a soldier	a terrorist	79	random	1	73	1	unidentified	impersonal	k	Yes	7.52994337060159	N/A	-1	0.964924369747899	0.0165859866244675	0.0701512605042016	1	1	TRUE	0.929848739495798	1	-0.521139353390139	8.05108272399173	0.05
0.05	an adult	a pedophile	79	random	1	161	1	unidentified	impersonal	k	Yes	7.71824095195932	N/A	-1	0.034344262295082	0.015825463196448	0.0686885245901639	1	1	TRUE	0.931311475409836	1	-0.13703082864606	7.85527178060538	0.05
0.05	a pedophile	an orphan	79	random	1	90	1	unidentified	personal	d	No	7.71110125184016	N/A	-1	0.0286747967479675	0.0146488578211018	0.0573495934959349	-1	1	FALSE	-0.942650406504065	1	-0.301777692508716	8.01287894434887	0.05
0.05	an orphan	a rapist	79	random	1	113	1	strangle	personal	k	Yes	7.39939808333135	N/A	-1	0.0348650793650794	0.0158741101836107	0.0697301587301588	1	1	TRUE	0.930269841269841	1	-0.562081781429939	7.96147986476129	0.05
0.05	a terrorist	an astronaut	79	random	1	173	1	unidentified	impersonal	d	No	7.63819824428578	N/A	-1	0.0457317073170732	0.0179179913546918	0.0914634146341463	-1	1	FALSE	-0.908536585365854	1	-0.190743639467422	7.8289418837532	0.05
0.05	a pedophile	a college student	79	random	1	142	1	strangle	impersonal	d	No	8.0702808933939	N/A	-1	0.961213114754098	0.0176425906742174	0.0775737704918034	-1	1	FALSE	-0.922426229508197	1	0.173138891216794	7.89714200217711	0.05
0.05	a rapist	a mentor	79	random	1	111	1	strangle	impersonal	d	No	8.11820704940578	N/A	-1	0.950279069767442	0.0195449724178816	0.0994418604651164	-1	1	FALSE	-0.900558139534884	1	0.152270818358928	7.96593623104685	0.05
0.05	an astronaut	a pedophile	79	random	1	61	1	strangle	personal	k	Yes	7.78821155784708	N/A	-1	0.0383125	0.0167948861566107	0.0766249999999999	1	1	TRUE	0.923375	1	-0.289948155707055	8.07815971355413	0.05
0.05	an orphan	a pedophile	79	random	1	45	1	strangle	impersonal	d	No	7.88945914940452	N/A	-1	0.0286747967479675	0.0146488578211018	0.0573495934959349	1	0	TRUE	0.942650406504065	0	-0.224944924831312	8.11440407423584	0.05
0.05	an elderly person	a terrorist	79	random	1	43	1	strangle	impersonal	k	Yes	7.40853056689463	N/A	-1	0.0362586206896552	0.0177171171099633	0.0725172413793104	1	1	TRUE	0.92748275862069	1	-0.710415471568725	8.11894603846335	0.05
