IA1	IB1	averageP	sdp	overlap	direction
a convict	an adult	0.172761950286807	0.0164083979527513	0.345523900573614	-1
a terrorist	a college student	0.0193705357142857	0.0122190774939235	0.0387410714285714	-1
a gang member	a college student	0.0988407079646018	0.0270748727635649	0.197681415929204	-1
a judge	a convict	0.794604	0.034974195893235	0.410792	1
a convict	a homeless adult	0.202375	0.0343857365063947	0.40475	-1
a police officer	a convict	0.836296992481203	0.0303486496520387	0.327406015037594	1
a nun	a soldier	0.292512931034483	0.041293915794285	0.585025862068966	-1
a mentor	a police officer	0.49178	0.0425986648411221	0.98356	-1
a judge	a thief	0.873452586206897	0.029118207322448	0.253094827586207	1
a billionaire	a police officer	0.426482905982906	0.0432685297618225	0.852965811965812	-1
an astronaut	a rapist	0.980284552845528	0.0116018607761397	0.0394308943089432	1
an elderly person	a billionaire	0.589064732142857	0.0229725478124661	0.821870535714286	1
a soldier	a celebrity	0.742779816513761	0.0393636151264116	0.514440366972477	1
a nun	a mentor	0.40363025210084	0.0430763489029721	0.807260504201681	-1
an astronaut	a college student	0.44085652173913	0.0441728456759979	0.881713043478261	-1
a terrorist	a judge	0.0406304347826087	0.0174802827832992	0.0812608695652174	-1
an adult	a pedophile	0.985152131782946	0.00550562891361406	0.0296957364341086	1
a convict	an olympian	0.1926875	0.0348924692662303	0.385375	-1
an addict	a judge	0.284925438596491	0.0416481493480957	0.569850877192982	-1
an astronaut	a soldier	0.323662393162393	0.042630500836228	0.647324786324786	-1
a mentor	a billionaire	0.573068181818182	0.0456949179398052	0.853863636363636	1
a homeless adult	a convict	0.797621212121212	0.0337219240242225	0.404757575757576	1
a homeless adult	a rapist	0.962933070866142	0.0162153777731943	0.0741338582677165	1
a judge	a homeless adult	0.506430327868852	0.0430057195026746	0.987139344262295	1
an olympian	a mentor	0.41071875	0.0446788159109233	0.8214375	-1
an addict	a mentor	0.212613043478261	0.0348975336773296	0.425226086956522	-1
an assassin	a nun	0.0927958333333333	0.0251177431818691	0.185591666666667	-1
an orphan	a gang member	0.920486956521739	0.0237746815168556	0.159026086956522	1
a college student	a homeless adult	0.6148375	0.0433045367650112	0.770325	1
an astronaut	a celebrity	0.613276785714286	0.0449190929962347	0.773446428571429	1
an astronaut	a terrorist	0.978346153846154	0.0130575290847163	0.0433076923076923	1
a judge	an olympian	0.491022727272727	0.0456335484834729	0.982045454545455	-1
a judge	a celebrity	0.564572727272727	0.0469636562300478	0.870854545454546	1
a rapist	a convict	0.239069230769231	0.0322001706983805	0.478138461538462	-1
an adult	a rapist	0.972541425818882	0.00696180700031236	0.054917148362235	1
a terrorist	a rapist	0.534570833333333	0.0374661061282591	0.930858333333333	1
a gang member	an elderly person	0.102130769230769	0.0140493864603666	0.204261538461538	-1
a pedophile	a soldier	0.00576068376068376	0.0065973816954036	0.0115213675213676	-1
an astronaut	a gang member	0.890813559322034	0.0272993462087875	0.218372881355932	1
a judge	a nun	0.501205128205128	0.0427890105236459	0.997589743589744	1
an adult	a billionaire	0.549114398422091	0.0218426865653677	0.901771203155818	1
a pedophile	a college student	0.00853448275862069	0.00777160174937867	0.0170689655172414	-1
an elderly person	a college student	0.511621412803532	0.0234869656111572	0.976757174392936	1
a police officer	a congressman	0.679823275862069	0.0421545740483335	0.640353448275862	1
a judge	an elderly person	0.38159010989011	0.0230756394708929	0.76318021978022	-1
a congressman	a homeless adult	0.401365217391304	0.0434141068231249	0.802730434782609	-1
a thief	a gang member	0.470495689655172	0.0443674423162347	0.940991379310345	-1
a college student	a billionaire	0.581599056603774	0.0474507655956285	0.836801886792453	1
an elderly person	a rapist	0.979227173913043	0.00652288863888447	0.041545652173913	1
a thief	a celebrity	0.201440909090909	0.0383054083445232	0.402881818181818	-1
a billionaire	a thief	0.837954128440367	0.0328419169857547	0.324091743119266	1
an elderly person	a nun	0.620566739606127	0.021829831438993	0.758866520787746	1
a terrorist	an adult	0.0292816764132554	0.0076787545187468	0.0585633528265107	-1
a gang member	a congressman	0.260768518518519	0.0406962601760143	0.521537037037037	-1
a nun	an elderly person	0.379204595185996	0.0227397291574462	0.758409190371991	-1
a celebrity	an olympian	0.425581730769231	0.0489717958232845	0.851163461538462	-1
an assassin	a celebrity	0.164300884955752	0.0331730898166902	0.328601769911504	-1
a mentor	a terrorist	0.981086206896552	0.0116049218212286	0.0378275862068966	1
an addict	a nun	0.2795	0.0404507526511449	0.559	-1
a police officer	a pedophile	0.982615079365079	0.0109321100284515	0.0347698412698412	1
an orphan	a billionaire	0.639393518518519	0.0465765437579989	0.721212962962963	1
a convict	a gang member	0.562608	0.0436847191897887	0.874784	1
a judge	an adult	0.429622568093385	0.0212670669646659	0.85924513618677	-1
a soldier	an assassin	0.96231779661017	0.0161284562618494	0.075364406779661	1
a soldier	a police officer	0.607065040650407	0.0442126293509523	0.785869918699187	1
a nun	an orphan	0.322922413793103	0.0400341573331184	0.645844827586207	-1
an astronaut	a congressman	0.649754545454545	0.0431878845880807	0.700490909090909	1
a soldier	an elderly person	0.600103524229075	0.0234813372027686	0.79979295154185	1
a congressman	a celebrity	0.459200980392157	0.0470554578600907	0.918401960784314	-1
an astronaut	an adult	0.484125968992248	0.0222927477240514	0.968251937984496	-1
a celebrity	a homeless adult	0.437939655172414	0.0452088403578302	0.875879310344828	-1
an orphan	a thief	0.941804347826087	0.0208558763007436	0.116391304347826	1
a celebrity	a college student	0.344144859813084	0.0448867378461305	0.688289719626168	-1
