overlapRound	Item1	Item2	sn	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	correct	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
0.05	a pedophile	a college student	49	torture	1	117	1	unidentified	impersonal	d	No	7.79193595693806	N/A	-1	0.00849568965517241	0.00787921190011094	0.0169913793103448	-1	1	FALSE	-0.983008620689655	1	-0.149492551318526	7.94142850825658	0.05
0.05	a pedophile	a nun	49	torture	1	151	1	unidentified	impersonal	d	No	8.18729927015515	N/A	-1	0.017125	0.0110718619840775	0.03425	-1	1	FALSE	-0.96575	1	0.268001005289352	7.9192982648658	0.05
0.05	a police officer	a terrorist	49	torture	1	73	1	unidentified	personal	k	Yes	7.63867982387611	N/A	-1	0.968052845528455	0.0151058397911192	0.0638943089430895	1	1	TRUE	0.93610569105691	1	-0.406902314317882	8.045582138194	0.05
0.05	a rapist	a judge	49	torture	1	87	1	unidentified	impersonal	d	No	7.50878717063428	N/A	-1	0.0381859504132231	0.0163672921492369	0.0763719008264463	-1	1	FALSE	-0.923628099173554	1	-0.486869272842879	7.99565644347715	0.05
0.05	a mentor	a terrorist	49	torture	1	81	1	unidentified	impersonal	k	Yes	7.53208814354172	N/A	-1	0.979961206896552	0.0125831961748912	0.0400775862068965	1	1	TRUE	0.959922413793104	1	-0.482244939210313	8.01433308275204	0.05
0.05	a rapist	an elderly person	49	torture	1	10	1	strangle	personal	d	No	9.17668017048355	N/A	-1	0.0213097826086957	0.00677199130582788	0.0426195652173913	-1	1	FALSE	-0.957380434782609	1	0.219968456084059	8.95671171439949	0.05
0.05	a pedophile	a police officer	49	torture	1	135	1	unidentified	impersonal	d	No	7.94661756324447	N/A	-1	0.0180753968253968	0.0115635400436319	0.0361507936507937	-1	1	FALSE	-0.963849206349206	1	0.019824009349473	7.926793553895	0.05
0.05	a nun	a pedophile	49	torture	1	123	1	strangle	impersonal	k	Yes	7.85243908535751	N/A	-1	0.982395833333333	0.0112389225173757	0.0352083333333333	1	1	TRUE	0.964791666666667	1	-0.0831425255917742	7.93558161094928	0.05
0.05	a terrorist	a soldier	49	torture	1	152	1	strangle	impersonal	d	No	7.61184239958042	N/A	-1	0.0117061403508772	0.00969717632472512	0.0234122807017544	-1	1	FALSE	-0.976587719298246	1	-0.307103665822165	7.91894606540258	0.05
0.05	a terrorist	an astronaut	49	torture	1	59	1	unidentified	impersonal	d	No	7.91971976092457	N/A	-1	0.0207478632478632	0.0127983740075126	0.0414957264957265	-1	1	FALSE	-0.958504273504273	1	-0.204290040496686	8.12400980142126	0.05
0.05	a pedophile	an astronaut	49	torture	1	148	1	unidentified	impersonal	d	No	7.63482067774554	N/A	-1	0.0095875	0.00856209105027231	0.0191749999999999	-1	1	FALSE	-0.980825	1	-0.285604995677239	7.92042567342278	0.05
0.05	a pedophile	an elderly person	49	torture	1	84	1	unidentified	personal	d	No	7.61283103040736	N/A	-1	0.0111189956331878	0.00477236400907035	0.0222379912663755	-1	1	FALSE	-0.977762008733625	1	-0.39171220288082	8.00454323328818	0.05
