exp	sn	cond	sess	trial	trial_type	dispSize	minProbeTime	respOrder	fixedOrWord	probeBlankTime	screenAdvanceTime	title	typeOfScen	Item1	Is_are1	Verb1	Item2	Is_are2	Verb2	questionKey	keybResp	keyDef	keybRT	moral_acceptabilityResp	moral_acceptabilityRT	moral_inacceptabilityResp	moral_inacceptabilityRT	rtBeep	rtDeadline	hide_question
expDeathMethod4	100	injection	1	0	0	680	0	k	W	300	0	unidentified	impersonal	an assassin	is	kill	a thief	is	kill	X>Y	k	No	32108	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	1	0	680	0	k	W	300	0	injection	personal	a billionaire	is	kill	an Olympian	is	kill	X>Y	k	No	17108	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	2	0	680	0	k	W	300	0	injection	impersonal	a judge	is	kill	a gang member	is	kill	X>Y	d	Yes	7360	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	3	0	680	0	k	W	300	0	unidentified	personal	a convict	is	kill	a gang member	is	kill	X>Y	d	Yes	17702	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	4	0	680	0	k	W	300	0	injection	personal	a nun	is	kill	a gang member	is	kill	X>Y	d	Yes	7244	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	5	0	680	0	k	W	300	0	unidentified	impersonal	a pedophile	is	kill	a terrorist	is	kill	X>Y	k	No	21450	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	6	0	680	0	k	W	300	0	injection	impersonal	an elderly person	is	kill	a thief	is	kill	X>Y	d	Yes	6355	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	7	0	680	0	k	W	300	0	unidentified	personal	a convict	is	kill	a college student	is	kill	X>Y	k	No	12438	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	0	1	680	0	k	W	150	0	unidentified	personal	a gang member	is	kill	a convict	is	kill	X>Y	d	Yes	7712	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	1	1	680	0	k	W	150	0	unidentified	impersonal	a congressman	is	kill	a billionaire	is	kill	X>Y	k	No	6001	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	2	1	680	0	k	W	150	0	injection	impersonal	an astronaut	is	kill	an adult	is	kill	X>Y	d	Yes	6839	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	3	1	680	0	k	W	150	0	unidentified	impersonal	an Olympian	is	kill	a police officer	is	kill	X>Y	d	Yes	10756	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	4	1	680	0	k	W	150	0	unidentified	impersonal	an Olympian	is	kill	an astronaut	is	kill	X>Y	d	Yes	8871	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	5	1	680	0	k	W	150	0	injection	impersonal	a homeless adult	is	kill	a celebrity	is	kill	X>Y	d	Yes	13355	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	6	1	680	0	k	W	150	0	injection	personal	a police officer	is	kill	a college student	is	kill	X>Y	d	Yes	9833	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	7	1	680	0	k	W	150	0	unidentified	impersonal	a rapist	is	kill	a homeless adult	is	kill	X>Y	k	No	8466	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	8	1	680	0	k	W	150	0	injection	impersonal	an assassin	is	kill	a gang member	is	kill	X>Y	k	No	9165	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	9	1	680	0	k	W	150	0	unidentified	impersonal	a billionaire	is	kill	a terrorist	is	kill	X>Y	d	Yes	6211	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	10	1	680	0	k	W	150	0	unidentified	personal	a convict	is	kill	a thief	is	kill	X>Y	k	No	10605	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	11	1	680	0	k	W	150	0	unidentified	personal	a gang member	is	kill	an addict	is	kill	X>Y	k	No	12452	0	0	0	0	N/A	-1	visible
expDeathMethod4	100	injection	1	12	1	680	0	k	W	150	0	injection	impersonal	a police officer	is	kill	a convict	is	kill	X>Y	d	Yes	10387	0	0	0	0	N/A	-1	visible
